run,sample_idx,topology_perturb,sample_type,solve_time,converged
1,8333,n,raw,0.003201007843017578,true
1,8343,n,raw,0.0032308101654052734,true
1,8347,n,raw,0.0032339096069335938,true
1,8405,n,raw,0.0032410621643066406,true
1,8420,n,raw,0.003219127655029297,true
1,8516,n,raw,0.003226041793823242,true
1,8543,n,raw,0.004047870635986328,true
1,8552,n,raw,0.0033898353576660156,true
1,8560,n,raw,0.0033202171325683594,true
1,8570,n,raw,0.0033228397369384766,true
1,8585,n,raw,0.0033130645751953125,true
1,8605,n,raw,0.003304004669189453,true
1,8614,n,raw,0.0032770633697509766,true
1,8631,n,raw,0.0032892227172851562,true
1,8679,n,raw,0.003493785858154297,true
1,8700,n,raw,0.0033109188079833984,true
1,8713,n,raw,0.0038099288940429688,true
1,8731,n,raw,0.003278970718383789,true
1,8754,n,raw,0.0032830238342285156,true
1,8756,n,raw,0.0032961368560791016,true
1,8758,n,raw,0.003316164016723633,true
1,8817,n,raw,0.0032901763916015625,true
1,8837,n,raw,0.004433870315551758,true
1,8861,n,raw,0.005592823028564453,true
1,8874,n,raw,0.008594989776611328,true
1,8886,n,raw,0.003844022750854492,true
1,8911,n,raw,0.0048389434814453125,true
1,8916,n,raw,0.003484010696411133,true
1,8925,n,raw,0.003922939300537109,true
1,8946,n,raw,0.0033020973205566406,true
1,8956,n,raw,0.049957990646362305,true
1,8958,n,raw,0.0033829212188720703,true
1,8965,n,raw,0.0039119720458984375,true
1,9047,n,raw,0.003916025161743164,true
1,9082,n,raw,0.003206968307495117,true
1,9120,n,raw,0.003222942352294922,true
1,9139,n,raw,0.0032100677490234375,true
1,9171,n,raw,0.0032150745391845703,true
1,9206,n,raw,0.0037691593170166016,true
1,9213,n,raw,0.0033309459686279297,true
1,9244,n,raw,0.003203153610229492,true
1,9250,n,raw,0.003233194351196289,true
1,9275,n,raw,0.0032291412353515625,true
1,9291,n,raw,0.0032188892364501953,true
1,9314,n,raw,0.003217935562133789,true
1,9330,n,raw,0.003239870071411133,true
1,9401,n,raw,0.003361940383911133,true
1,9485,n,raw,0.0032150745391845703,true
1,9515,n,raw,0.0032198429107666016,true
1,9553,n,raw,0.0033979415893554688,true
1,9562,n,raw,0.0032448768615722656,true
1,9597,n,raw,0.0032510757446289062,true
1,9638,n,raw,0.003220081329345703,true
1,9648,n,raw,0.003242015838623047,true
1,9679,n,raw,0.0032460689544677734,true
1,9743,n,raw,0.0032448768615722656,true
1,9748,n,raw,0.0037908554077148438,true
1,9764,n,raw,0.003210783004760742,true
1,9775,n,raw,0.003371000289916992,true
1,9800,n,raw,0.0033981800079345703,true
1,9807,n,raw,0.003376007080078125,true
1,9900,n,raw,0.0032508373260498047,true
1,9952,n,raw,0.003248929977416992,true
1,9996,n,raw,0.003402233123779297,true
1,9997,n,raw,0.0032351016998291016,true
1,10064,n,raw,0.003799915313720703,true
1,10080,n,raw,0.0032308101654052734,true
1,10094,n,raw,0.0032281875610351562,true
1,10097,n,raw,0.0032248497009277344,true
1,10110,n,raw,0.0032188892364501953,true
1,10130,n,raw,0.003231048583984375,true
1,10138,n,raw,0.003844022750854492,true
1,10140,n,raw,0.0032448768615722656,true
1,10144,n,raw,0.0032351016998291016,true
1,10153,n,raw,0.003247976303100586,true
1,10217,n,raw,0.0032339096069335938,true
1,10220,n,raw,0.003407001495361328,true
1,10239,n,raw,0.003805875778198242,true
1,10251,n,raw,0.0032651424407958984,true
1,10286,n,raw,0.003239870071411133,true
1,10288,n,raw,0.003217935562133789,true
1,10295,n,raw,0.00392603874206543,true
1,10300,n,raw,0.5307791233062744,false
1,10344,n,raw,0.004148960113525391,true
1,10347,n,raw,0.0034990310668945312,true
1,10349,n,raw,0.003676891326904297,true
1,10350,n,raw,0.0035369396209716797,true
1,10418,n,raw,0.003596067428588867,true
1,10423,n,raw,0.008525848388671875,true
1,10445,n,raw,0.0034148693084716797,true
1,10449,n,raw,0.00339508056640625,true
1,10482,n,raw,0.0034110546112060547,true
1,10524,n,raw,0.003222942352294922,true
1,10554,n,raw,0.003225088119506836,true
1,10562,n,raw,0.0032291412353515625,true
1,10571,n,raw,0.0033419132232666016,true
1,10598,n,raw,0.047821998596191406,true
1,10599,n,raw,0.0037589073181152344,true
1,10637,n,raw,0.0032281875610351562,true
1,10645,n,raw,0.0032660961151123047,true
1,10706,n,raw,0.0032558441162109375,true
1,10737,n,raw,0.0032210350036621094,true
1,10796,n,raw,0.0032639503479003906,true
1,10834,n,raw,0.00327301025390625,true
1,10860,n,raw,0.003306150436401367,true
1,10898,n,raw,0.003306865692138672,true
1,10923,n,raw,0.003287076950073242,true
1,10933,n,raw,0.0034399032592773438,true
1,10938,n,raw,0.003320932388305664,true
1,10942,n,raw,0.0033111572265625,true
1,10946,n,raw,0.0036058425903320312,true
1,10982,n,raw,0.003281116485595703,true
1,11009,n,raw,0.003319978713989258,true
1,11048,n,raw,0.0033049583435058594,true
1,11052,n,raw,0.002891063690185547,true
1,11082,n,raw,0.003493070602416992,true
1,11094,n,raw,0.003612041473388672,true
1,11109,n,raw,0.003506183624267578,true
1,11112,n,raw,0.003298044204711914,true
1,11124,n,raw,0.003317117691040039,true
1,11126,n,raw,0.0032958984375,true
1,11144,n,raw,0.00847005844116211,true
1,11153,n,raw,0.008471965789794922,true
1,11175,n,raw,0.004172086715698242,true
1,11198,n,raw,0.004158973693847656,true
1,11296,n,raw,0.004503011703491211,true
1,11300,n,raw,0.0035200119018554688,true
1,11323,n,raw,0.0033888816833496094,true
1,11353,n,raw,0.003484010696411133,true
1,11373,n,raw,0.0032939910888671875,true
1,11451,n,raw,0.0032889842987060547,true
1,11480,n,raw,0.003301858901977539,true
1,11532,n,raw,0.0033948421478271484,true
1,11611,n,raw,0.0034241676330566406,true
1,11616,n,raw,0.003258943557739258,true
1,11631,n,raw,0.003284931182861328,true
1,11647,n,raw,0.003281116485595703,true
1,11649,n,raw,0.003287076950073242,true
1,11659,n,raw,0.0032629966735839844,true
1,11703,n,raw,0.003287076950073242,true
1,11767,n,raw,0.0033011436462402344,true
1,11774,n,raw,0.0032629966735839844,true
1,11814,n,raw,0.003782987594604492,true
1,11820,n,raw,0.0032918453216552734,true
1,11825,n,raw,0.003348112106323242,true
1,11957,n,raw,0.003281116485595703,true
1,11969,n,raw,0.003268003463745117,true
1,11981,n,raw,0.0038390159606933594,true
1,11994,n,raw,0.0038428306579589844,true
1,12011,n,raw,0.003849029541015625,true
1,12056,n,raw,0.003389120101928711,true
1,12064,n,raw,0.0032629966735839844,true
1,12113,n,raw,0.0034308433532714844,true
