topo,run,sample_idx,sample_type,pbl_mean,pbl_max
n,1,5849,raw,1.1253291631874163e-06,1.1253291631874163e-06
n,1,5912,raw,1.1271769153609057e-06,1.1271769153609057e-06
n,1,5981,raw,8.993211508823151e-07,8.993211508823151e-07
n,1,5984,raw,9.544340855427436e-07,9.544340855427436e-07
n,1,5993,raw,1.0745573035819689e-06,1.0745573035819689e-06
n,1,6008,raw,1.023063646243827e-06,1.023063646243827e-06
n,1,6009,raw,1.0395036724730744e-06,1.0395036724730744e-06
n,1,6021,nose,1.9554017853806727e-06,1.9554017853806727e-06
n,1,6039,raw,1.0067356015497353e-06,1.0067356015497353e-06
n,1,6039,nose,1.1833717508125119e-06,1.1833717508125119e-06
n,1,6074,raw,1.0033860462499433e-06,1.0033860462499433e-06
n,1,6119,raw,1.0331451676393044e-06,1.0331451676393044e-06
n,1,6119,nose,1.3314869420355535e-06,1.3314869420355535e-06
n,1,6146,raw,9.152379334409488e-07,9.152379334409488e-07
n,1,6180,raw,1.1189678161827032e-06,1.1189678161827032e-06
n,1,6203,raw,1.1309834917483386e-06,1.1309834917483386e-06
n,1,6221,raw,1.061114971889765e-06,1.061114971889765e-06
n,1,6234,raw,1.2339737622824032e-06,1.2339737622824032e-06
n,1,6265,raw,1.081157506632735e-06,1.081157506632735e-06
n,1,6290,raw,1.0391693194833351e-06,1.0391693194833351e-06
n,1,6306,raw,9.925181529979454e-07,9.925181529979454e-07
n,1,6353,raw,1.0066411277875886e-06,1.0066411277875886e-06
n,1,6353,nose,1.4062762829780695e-06,1.4062762829780695e-06
n,1,6358,raw,1.1397652315281448e-06,1.1397652315281448e-06
n,1,6509,raw,1.1551924217201304e-06,1.1551924217201304e-06
n,1,6513,raw,9.920997854351299e-07,9.920997854351299e-07
n,1,6513,nose,1.093100195248553e-06,1.093100195248553e-06
n,1,6649,raw,1.0052938250737498e-06,1.0052938250737498e-06
n,1,6690,raw,1.0362207376601873e-06,1.0362207376601873e-06
n,1,6691,raw,9.792147466214374e-07,9.792147466214374e-07
n,1,6704,raw,9.83734025794547e-07,9.83734025794547e-07
n,1,6713,raw,1.2035445706715109e-06,1.2035445706715109e-06
n,1,6731,raw,8.913823421607958e-07,8.913823421607958e-07
n,1,6810,raw,9.625730399420718e-07,9.625730399420718e-07
n,1,6811,raw,9.71100803326408e-07,9.71100803326408e-07
n,1,6815,raw,1.0245189514535014e-06,1.0245189514535014e-06
n,1,6857,raw,1.0953249329759274e-06,1.0953249329759274e-06
n,1,6877,raw,1.0949825082207099e-06,1.0949825082207099e-06
n,1,6877,nose,1.159917133009003e-06,1.159917133009003e-06
n,1,6941,raw,1.073021735464863e-06,1.073021735464863e-06
n,1,6941,nose,1.1805707345047267e-06,1.1805707345047267e-06
n,1,7001,raw,9.604676733943052e-07,9.604676733943052e-07
n,1,7020,raw,1.0151729838980827e-06,1.0151729838980827e-06
n,1,7031,raw,1.08744291082985e-06,1.08744291082985e-06
n,1,7033,raw,1.039356448018225e-06,1.039356448018225e-06
n,1,7049,raw,9.985126325773308e-07,9.985126325773308e-07
n,1,7054,raw,1.0087408099934692e-06,1.0087408099934692e-06
n,1,7093,raw,8.797895816314849e-07,8.797895816314849e-07
n,1,7137,raw,1.0473229394847294e-06,1.0473229394847294e-06
n,1,7157,raw,9.68774656939786e-07,9.68774656939786e-07
n,1,7182,raw,1.015753582578327e-06,1.015753582578327e-06
n,1,7224,raw,1.235356194229098e-06,1.235356194229098e-06
n,1,7241,raw,1.2161478935013292e-06,1.2161478935013292e-06
n,1,7260,raw,1.1020387091775774e-06,1.1020387091775774e-06
n,1,7264,raw,1.08593599179585e-06,1.08593599179585e-06
n,1,7265,raw,1.2134744338254677e-06,1.2134744338254677e-06
n,1,7270,raw,1.1748235237973859e-06,1.1748235237973859e-06
n,1,7288,raw,1.0150976095246733e-06,1.0150976095246733e-06
n,1,7313,raw,1.1493157217046246e-06,1.1493157217046246e-06
n,1,7316,raw,1.0138940069737146e-06,1.0138940069737146e-06
n,1,7331,raw,1.2097093531338032e-06,1.2097093531338032e-06
n,1,7345,raw,1.0370333711762214e-06,1.0370333711762214e-06
n,1,7398,raw,1.1708345937222475e-06,1.1708345937222475e-06
n,1,7464,raw,1.1441445622040192e-06,1.1441445622040192e-06
n,1,7481,raw,1.1056823723265552e-06,1.1056823723265552e-06
n,1,7508,raw,9.98334940049972e-07,9.98334940049972e-07
n,1,7521,raw,9.851653430814622e-07,9.851653430814622e-07
n,1,7529,raw,1.2794764643331291e-06,1.2794764643331291e-06
n,1,7544,raw,8.900266266209655e-07,8.900266266209655e-07
n,1,7557,raw,1.0171470421482809e-06,1.0171470421482809e-06
n,1,7558,raw,1.1134479791508056e-06,1.1134479791508056e-06
n,1,7619,raw,1.0182086498389253e-06,1.0182086498389253e-06
n,1,7637,raw,9.824400422075996e-07,9.824400422075996e-07
n,1,7722,raw,1.0379592367826262e-06,1.0379592367826262e-06
n,1,7823,raw,9.790405783860479e-07,9.790405783860479e-07
n,1,7823,nose,1.3301687431521714e-06,1.3301687431521714e-06
n,1,7835,raw,1.0148115734409657e-06,1.0148115734409657e-06
n,1,7838,raw,1.0070417602037196e-06,1.0070417602037196e-06
n,1,7863,raw,1.1463864666438894e-06,1.1463864666438894e-06
n,1,7991,raw,9.000702902994817e-07,9.000702902994817e-07
n,1,8061,raw,1.1690968904076726e-06,1.1690968904076726e-06
n,1,8087,raw,1.0210219443251844e-06,1.0210219443251844e-06
n,1,8087,nose,1.2592134908118169e-06,1.2592134908118169e-06
n,1,8104,raw,9.930058695317712e-07,9.930058695317712e-07
n,1,8123,raw,1.18155605832726e-06,1.18155605832726e-06
n,1,8143,raw,1.0478147487447131e-06,1.0478147487447131e-06
n,1,8143,nose,1.3151873190508923e-06,1.3151873190508923e-06
n,1,8145,raw,1.0477410796738695e-06,1.0477410796738695e-06
n,1,8147,raw,1.0658279734343523e-06,1.0658279734343523e-06
n,1,8165,raw,1.1376163229215308e-06,1.1376163229215308e-06
n,1,8230,raw,9.459077432438789e-07,9.459077432438789e-07
n,1,8230,nose,1.1421045655879425e-06,1.1421045655879425e-06
n,1,8255,raw,1.0902306257776218e-06,1.0902306257776218e-06
n,1,8292,raw,1.2031139249302214e-06,1.2031139249302214e-06
n,1,8292,nose,1.4579446769857896e-06,1.4579446769857896e-06
n,1,8301,raw,9.387186423737148e-07,9.387186423737148e-07
n,1,8309,raw,1.0266672916259267e-06,1.0266672916259267e-06
n,1,8309,nose,1.2057121239195112e-06,1.2057121239195112e-06
n,1,8313,raw,9.350722507406317e-07,9.350722507406317e-07
n,1,8333,raw,1.1744360790544306e-06,1.1744360790544306e-06
n,1,8343,raw,9.353054792882176e-07,9.353054792882176e-07
n,1,8347,raw,1.1521401575009804e-06,1.1521401575009804e-06
n,1,8405,raw,1.2609775694727432e-06,1.2609775694727432e-06
n,1,8405,nose,1.2000905371678527e-06,1.2000905371678527e-06
n,1,8420,raw,1.2539029512481648e-06,1.2539029512481648e-06
n,1,8516,raw,1.1620552413660334e-06,1.1620552413660334e-06
n,1,8543,raw,1.0719643341872143e-06,1.0719643341872143e-06
n,1,8552,raw,1.1234484418309876e-06,1.1234484418309876e-06
n,1,8560,raw,1.1273480140516767e-06,1.1273480140516767e-06
n,1,8570,raw,1.2114294349885313e-06,1.2114294349885313e-06
n,1,8585,raw,1.0627505844240659e-06,1.0627505844240659e-06
n,1,8605,raw,1.0160808869841276e-06,1.0160808869841276e-06
n,1,8614,raw,1.0141602615476586e-06,1.0141602615476586e-06
n,1,8631,raw,1.116658154387551e-06,1.116658154387551e-06
n,1,8679,raw,9.592661172064254e-07,9.592661172064254e-07
n,1,8700,raw,1.14363456305e-06,1.14363456305e-06
n,1,8713,raw,1.1370353831807734e-06,1.1370353831807734e-06
n,1,8731,raw,1.2553313126772991e-06,1.2553313126772991e-06
n,1,8754,raw,1.0642118013493018e-06,1.0642118013493018e-06
n,1,8754,nose,1.3038227280048886e-06,1.3038227280048886e-06
n,1,8756,raw,1.144288376053737e-06,1.144288376053737e-06
n,1,8758,raw,1.030358134812559e-06,1.030358134812559e-06
n,1,8817,raw,1.0756677966128336e-06,1.0756677966128336e-06
n,1,8837,raw,1.0771285587907187e-06,1.0771285587907187e-06
n,1,8837,nose,1.2688425385931623e-06,1.2688425385931623e-06
n,1,8861,raw,1.0886236623264267e-06,1.0886236623264267e-06
n,1,8874,raw,1.211430344483233e-06,1.211430344483233e-06
n,1,8874,nose,1.3050782854406862e-06,1.3050782854406862e-06
n,1,8886,raw,1.0060927024824196e-06,1.0060927024824196e-06
n,1,8911,raw,1.1357236644471413e-06,1.1357236644471413e-06
n,1,8911,nose,1.3188405318942387e-06,1.3188405318942387e-06
n,1,8916,raw,1.0721330454543931e-06,1.0721330454543931e-06
n,1,8925,raw,1.073667021955771e-06,1.073667021955771e-06
n,1,8946,raw,1.0741530331870308e-06,1.0741530331870308e-06
n,1,8956,raw,1.1380700470908778e-06,1.1380700470908778e-06
n,1,8958,raw,1.0759423503259313e-06,1.0759423503259313e-06
n,1,8965,raw,1.1470243634903454e-06,1.1470243634903454e-06
n,1,8965,nose,1.0980301112795132e-06,1.0980301112795132e-06
n,1,9047,raw,8.889098239706072e-07,8.889098239706072e-07
n,1,9047,nose,1.2600291938724695e-06,1.2600291938724695e-06
n,1,9082,raw,1.1298573099338682e-06,1.1298573099338682e-06
n,1,9120,raw,1.0745562804004294e-06,1.0745562804004294e-06
n,1,9139,raw,1.0968649348797044e-06,1.0968649348797044e-06
n,1,9171,raw,1.2156870070612058e-06,1.2156870070612058e-06
n,1,9206,raw,1.1357113862686674e-06,1.1357113862686674e-06
n,1,9213,raw,1.0089491979670129e-06,1.0089491979670129e-06
n,1,9244,raw,1.2085450862286962e-06,1.2085450862286962e-06
n,1,9250,raw,1.0057460713142063e-06,1.0057460713142063e-06
n,1,9275,raw,1.0865190915865242e-06,1.0865190915865242e-06
n,1,9291,raw,9.681509709480451e-07,9.681509709480451e-07
n,1,9314,raw,8.727830049792829e-07,8.727830049792829e-07
n,1,9330,raw,1.17496801976813e-06,1.17496801976813e-06
n,1,9401,raw,9.86276631920191e-07,9.86276631920191e-07
n,1,9485,raw,1.0387525435362477e-06,1.0387525435362477e-06
n,1,9515,raw,1.0581275091681164e-06,1.0581275091681164e-06
n,1,9553,raw,9.265714879802545e-07,9.265714879802545e-07
n,1,9562,raw,1.231761643794016e-06,1.231761643794016e-06
n,1,9597,raw,1.105339379137149e-06,1.105339379137149e-06
n,1,9638,raw,1.0940351558019756e-06,1.0940351558019756e-06
n,1,9648,raw,1.0164765171793988e-06,1.0164765171793988e-06
n,1,9679,raw,1.0480229093445814e-06,1.0480229093445814e-06
